time,open,high,low,close,SPY
1376265600,2.29,2.29,2.29,2.29,169.11099
1376352000,2.37,2.37,2.37,2.37,169.61
1376438400,2.37,2.37,2.37,2.37,168.74001
1376524800,2.41,2.41,2.41,2.41,166.38
1376611200,2.48,2.48,2.48,2.48,165.83
1376870400,2.52,2.52,2.52,2.52,164.77
1376956800,2.46,2.46,2.46,2.46,165.58
1377043200,2.49,2.49,2.49,2.49,164.56
1377129600,2.48,2.48,2.48,2.48,166.06
1377216000,2.42,2.42,2.42,2.42,166.62
1377475200,2.38,2.38,2.38,2.38,166
1377561600,2.34,2.34,2.34,2.34,163.33
1377648000,2.38,2.38,2.38,2.38,163.91
1377734400,2.36,2.36,2.36,2.36,164.17
1377820800,2.39,2.39,2.39,2.39,163.64999
1378166400,2.43,2.43,2.43,2.43,164.39
1378252800,2.44,2.44,2.44,2.44,165.75
1378339200,2.46,2.46,2.46,2.46,165.96001
1378425600,2.48,2.48,2.48,2.48,166.03999
1378684800,2.45,2.45,2.45,2.45,167.634
1378771200,2.46,2.46,2.46,2.46,168.87
1378857600,2.46,2.46,2.46,2.46,169.39999
1378944000,2.47,2.47,2.47,2.47,168.95
1379030400,2.45,2.45,2.45,2.45,169.33
1379289600,2.47,2.47,2.47,2.47,170.31
1379376000,2.47,2.47,2.47,2.47,171.07001
1379462400,2.35,2.35,2.35,2.35,173.05099
1379548800,2.42,2.42,2.42,2.42,172.75999
1379635200,2.41,2.41,2.41,2.41,170.72
1379894400,2.37,2.37,2.37,2.37,169.92999
1379980800,2.32,2.32,2.32,2.32,169.53
1380067200,2.27,2.27,2.27,2.27,169.03999
1380153600,2.32,2.32,2.32,2.32,169.69
1380240000,2.3,2.3,2.3,2.3,168.909
1380499200,2.31,2.31,2.31,2.31,168.00999
1380585600,2.33,2.33,2.33,2.33,169.34
1380672000,2.32,2.32,2.32,2.32,169.17999
1380758400,2.29,2.29,2.29,2.29,167.62
1380844800,2.33,2.33,2.33,2.33,168.89
1381104000,2.28,2.28,2.28,2.28,167.42999
1381190400,2.26,2.26,2.26,2.26,165.48
1381276800,2.31,2.31,2.31,2.31,165.60001
1381363200,2.36,2.36,2.36,2.36,169.17
1381449600,2.35,2.35,2.35,2.35,170.25999
1381795200,2.38,2.38,2.38,2.38,169.7
1381881600,2.35,2.35,2.35,2.35,172.07001
1381968000,2.28,2.28,2.28,2.28,173.22
1382054400,2.27,2.27,2.27,2.27,174.388
1382313600,2.3,2.3,2.3,2.3,174.39999
1382400000,2.23,2.23,2.23,2.23,175.41
1382486400,2.2,2.2,2.2,2.2,174.57001
1382572800,2.2,2.2,2.2,2.2,175.14999
1382659200,2.21,2.21,2.21,2.21,175.95
1382918400,2.22,2.22,2.22,2.22,176.23
1383004800,2.22,2.22,2.22,2.22,177.17
1383091200,2.22,2.22,2.22,2.22,176.29
